﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.322916698,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.0530303,6.6994,space,49.26347444,8.3238,0,5,5,5,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,1.1696,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.2625,-0.509259372,1,0,0,LeftButton,"[""LeftButton""]",50,3.1032,space,1.2076,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.280208302,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50,3.6299,space,49.579131,4.8291,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,1.1167,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.279166698,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,,2.479166985,3.5632,space,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,1.1432,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.269791651,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,49.89478757,2.2004,space,49.7895655,3.2591,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.7017,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.285416651,-0.481481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.30724227,3.432,space,28.95623217,5.4563,0,10,10,10,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,1.0065,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.292708397,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,0.026041746,2.8373,space,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,1.3113,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.290625,-0.509259372,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,3.7506,space,0,5.3091,0,12,12,12,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,1.0781,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.26875,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",0,3.7902,space,1.2708,,,,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.308333397,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,,,,,
